,Unnamed: 0,Account_ID,Name,Twitter_username,Political_party
497,760,789492350120624128,Elizabeth Guzmán,delegateguzman,Democratic Party
498,762,970207298,Elizabeth Warren,ewarren,Democratic Party
499,764,357606935,Elizabeth Warren,ewarren,Democratic Party
500,771,322933929,Elly Schlein,ellyesse,Democratic Party
501,773,163570705,Emanuel Cleaver,repcleaver,Democratic Party
502,774,340395994,Emily Larson,LarsonForDuluth,Minnesota Democratic–Farmer–Labor Party
503,775,135193670,Emily Virgin,EmilyVirginOK,Democratic Party
504,778,926810064,Eric Brakey,SenatorBrakey,Republican Party
505,779,17993908,Eric Burlison,ericburlison,Republican Party
507,781,814367737342328833,Eric Fanning,SECARMY,Democratic Party
509,783,24004390,Eric Greitens,EricGreitens,Democratic Party
510,785,4919082864,Eric Holcomb,GovHolcomb,Republican Party
511,787,3118589409,Eric Holcomb,GovHolcomb,Republican Party
512,789,3333055535,Eric Holder,ericholder,Democratic Party
514,793,942156122,Eric Swalwell,RepSwalwell,Democratic Party
517,796,581678551,Erika Harold,ErikaHarold,Republican Party
519,799,821769014691168256,Ernest Moniz,ErnestMoniz,Democratic Party
520,801,37820650,Eugene DePasquale,DePasqualePA,Democratic Party
523,806,55018701,Evan Glass,EvanMGlass,Democratic Party
524,809,253769656,Evan Low,Evan_Low,Democratic Party
525,811,1051396218,Evan McMullin,EvanMcMullin,Republican Party
528,816,816111677917851649,Francis Rooney,RepRooney,Republican Party
529,817,617602505,Francis X. Suarez,FrancisSuarez,Republican Party
532,822,242772524,Frank Lucas,RepFrankLucas,Republican Party
533,823,31801993,Frank Pallone,FrankPallone,Democratic Party
534,825,1265423480,Frank Pallone,FrankPallone,Democratic Party
535,827,2356836282,Frank Riggs,riggsforaz,Republican Party
536,828,237418907,Frank Wolf,RepWOLFPress,Republican Party
538,830,124224165,Fred Upton,RepFredUpton,Republican Party
539,831,234014087,Frederica Wilson,RepWilson,Democratic Party
540,832,2953974395,French Hill,RepFrenchHill,Republican Party
543,836,2951574214,Garret Graves,RepGarretGraves,Republican Party
548,844,2861616083,Gary Palmer,USRepGaryPalmer,Republican Party
549,845,236511574,Gary Peters,SenGaryPeters,Democratic Party
552,850,11347122,Gavin Newsom,GavinNewsom,Democratic Party
557,857,80136311,George P. Bush,GeorgePBush,Republican Party
558,858,2865560724,George Pataki,governorpataki,Republican Party
559,859,17074440,George Stephanopoulos,GStephanopoulos,Democratic Party
560,861,78445977,Gerry Connolly,GerryConnolly,Democratic Party
